메뉴 이름,재료,날씨,시간,종류,분류,배달용
스테이크 샐러드,"소고기, 양상추, 양배추, 방울토마토",보통,낮,반찬,양식,T
샌드위치,"빵, 밀가루, 토마토, 베이컨, 양상추, 치즈",보통,낮,메인,양식,T
가지볶음,"가지, 파, 양파",보통,낮,반찬,한식,F
달걀볶음밥,"쌀, 달걀, 양파, 파, 당근",보통,낮,밥,중식,T
소고기볶음밥,"소고기, 쌀, 파, 당근, 호박, 양파",보통,낮,밥,한식,T
소불고기 덮밥,"쌀, 소고기, 파, 양파, 깻잎, 마늘",보통,낮,메인,한식,T
팥죽,"팥, 쌀, 떡",추움,낮,죽,한식,T
두부강정,"두부, 밀가루, 케첩",보통,낮,반찬,한식,F
아란치니,"쌀, 양파, 당근, 베이컨, 밀가루, 달걀, 빵가루",보통,낮,메인,양식,T
꿔바로우,"돼지고기, 튀김가루",보통,낮,메인,중식,T
미트볼,"돼지고기, 빵가루, 케첩, 마늘, 양파",보통,낮,메인,양식,T
쌀국수,"쌀국수, 소고기, 양파, 숙주",추움,낮,면,아시안,T
고추잡채,"빵, 밀가루, 파프리카, 피망, 버섯, 양파, 파, 마늘, 고추",보통,낮,반찬,중식,T
단호박전,"단호박, 밀가루, 달걀",보통,낮,반찬,한식,F
동그랑땡,"돼지고기, 당근, 부추, 마늘, 양파, 파, 달걀, 두부",보통,낮,반찬,한식,F
동태전,"동태, 달걀, 밀가루",보통,낮,반찬,한식,F
두부전,"두부",보통,낮,반찬,한식,F
소고기미역국,"미역, 소고기",추움,낮,국,한식,T
오일 파스타,"스파게티, 면, 올리브오일, 마늘",보통,낮,면,양식,T
크림 스파게티,"스파게티, 면, 베이컨, 양파, 버섯, 마늘, 올리브오일, 우유, 생크림",보통,낮,면,양식,T
로제 스파게티,"스파게티, 면, 토마토, 우유, 마늘, 베이컨, 양파, 새우, 생크림",보통,낮,면,양식,T
간짜장,"면, 밀가루, 돼지고기, 양파, 양배추, 파, 춘장",보통,낮,면,중식,T
삼선짜장,"면, 밀가루, 돼지고기, 양파, 양배추, 파, 춘장, 오징어, 새우, 해산물",보통,낮,면,중식,T
짜장밥,"쌀, 돼지고기, 양파, 양배추, 파, 춘장",보통,낮,밥,중식,T
유니짜장,"면, 밀가루, 돼지고기, 양파, 양배추, 파, 춘장",보통,낮,면,중식,T
고기짬뽕,"면, 밀가루, 오징어, 홍합, 죽순, 양파, 당근, 양배추, 마늘, 고추, 돼지고기",추움,낮,면,중식,T
삼선짬뽕,"면, 밀가루, 오징어, 홍합, 죽순, 양파, 당근, 양배추, 마늘, 고추, 새우, 표고버섯",추움,낮,면,중식,T
냉짬뽕,"면, 밀가루, 오징어, 새우, 오이, 양파, 당근, 마늘, 고추",더움,낮,면,중식,T
나가사키짬뽕,"해산물, 배추, 숙주, 대파, 마늘, 면, 밀가루, 청경채",추움,낮,면,일식,T
큐브스테이크덮밥,"소고기, 쌀",보통,낮,밥,양식,T
돈까스마요덮밥,"돼지고기, 달걀, 밀가루, 빵가루, 마요네즈, 쌀",보통,낮,밥,일식,T
차슈덮밥,"삼겹살, 돼지고기, 양파, 쌀",보통,낮,밥,일식,T
